Mp,C_percent,N_percent,O_percent,DECC,Psi_e_A,piPC05,PCR,Vindex,SpMAD_A,WiA_D/Dt,SpMAD_B(p),MATS2m,MATS5m,MATS5p,MATS8p,MATS1i,MATS7i,GATS4m,GATS8m,GATS2p,GATS2i,GATS4i,GATS6i,SpMax2_Bh(p),SpMax2_Bh(i),SpMin1_Bh(p),SpMin3_Bh(i),P_VSA_p_3,P_VSA_i_2,P_VSA_s_3,P_VSA_s_6,P_VSA_ppp_D,P_VSA_ppp_cyc,Eta_D_epsiA,Eta_psi1,SpMaxA_AEA(dm),SM12_AEA(ri),SdssC,SaasC,mindssC,CATS2D_00_LL,SHED_AL,SHED_LL,Uc,TPSA_efficiency,LOGPcons,SAscore,QEDu,MACCSFP125,Actividad
0.7172,50.0,10.0,3.3333,1.0249,7.7895,5.9938,1.5141,0.281,1.3411,0.4697,1.6641,0.0786,-0.1743,-0.1436,-0.2781,-0.0852,-0.2045,1.0571,1.3061,0.8589,0.8903,1.0217,0.9551,3.6484,3.8702,2.128,1.4706,112.4601,112.4601,21.1282,57.3522,18.0108,113.7548,0.1755,0.5917,0.1939,4.0095,0.0,2.0043,0.0,10,7.0511,4.3367,4.1699,0.2481,2.9361,3.5196,0.7794,1,Act1
0.7071,42.8571,11.9048,2.381,1.6992,7.58,6.2378,1.5314,0.1991,1.3184,0.5293,1.5762,0.2181,0.0374,0.0156,-0.6176,-0.08,0.1763,1.0035,2.5914,0.7708,0.9892,1.1439,0.863,3.8366,3.938,2.0221,1.392,152.3923,121.1146,48.9065,60.9889,0.0,175.8695,0.1654,0.5925,0.1173,3.8925,0.0,5.4294,0.0,11,8.0863,9.0469,4.4594,0.2384,3.8155,3.9708,0.5279,1,Act1
0.7454,45.4545,9.0909,4.5455,1.0,7.881,4.7942,1.3472,0.3217,1.3032,0.6265,1.6253,-0.0982,-0.0385,0.3225,-0.002,-0.0416,-0.237,0.8621,1.0816,1.0226,1.1177,1.0195,1.11,3.7285,3.8231,1.9763,1.3796,103.7464,72.4687,40.0975,41.9305,18.0108,115.8273,0.1979,0.5989,0.2381,3.4198,-0.0898,1.4164,-0.0898,5,5.4507,4.7451,3.7004,0.3438,1.6443,3.1626,0.852,1,Act1
0.6784,40.0,4.0,8.0,1.7857,7.8234,5.7414,1.292,0.2175,1.3022,0.6529,1.4875,0.0763,-0.0531,-0.003,0.1326,-0.3401,0.1636,0.9454,0.8153,0.6033,0.9091,1.2649,1.2516,3.8394,3.9262,2.0654,1.612,200.129,121.8317,41.8013,136.4419,0.0,90.7265,0.1888,0.546,0.1236,3.9312,-0.0869,4.0213,-0.0869,8,10.3396,7.0218,3.8074,0.1205,3.4464,3.3637,0.7267,1,Act1
0.6273,32.6923,5.7692,7.6923,1.4176,8.0033,5.3894,1.2084,0.2932,1.2426,0.6976,1.4558,0.0793,0.0676,-0.0777,-0.0368,-0.1185,0.0056,1.0757,1.2145,1.0392,1.1547,1.2045,0.7995,3.743,3.958,2.0601,1.59,83.2589,77.213,29.727,113.355,50.9079,41.9881,0.1425,0.5386,0.202,3.9421,-0.3543,0.5081,-0.3543,7,8.7937,10.758,3.3219,0.298,1.2034,3.8293,0.7038,0,Act-1
0.7115,42.8571,7.1429,3.5714,1.125,7.7813,4.8515,1.3306,0.2971,1.2813,0.6517,1.5587,0.0492,0.12,0.0263,-0.5447,0.0259,0.2884,0.7462,2.1231,1.0449,1.0793,1.1311,0.4995,3.8441,3.8541,2.0149,1.3733,115.7572,84.4795,42.4254,25.1449,36.0215,102.6561,0.1549,0.6113,0.2099,3.5032,-0.2113,2.7143,-0.2113,9,2.6247,6.7722,3.7004,0.2986,2.8648,3.2719,0.7224,1,Act1
0.718,52.0833,4.1667,6.25,2.1333,7.7056,6.4943,1.6282,0.1492,1.3515,0.5152,1.6398,0.0206,0.1024,0.1124,0.0159,-0.0492,0.0746,1.1218,1.0001,0.9328,1.0252,1.0739,1.068,3.923,4.0264,2.1266,1.8461,179.7728,179.7728,36.2222,62.4377,18.0108,190.4779,0.1682,0.5934,0.1052,4.3125,-0.2162,3.258,-0.2162,18,12.8659,14.2567,4.858,0.1632,5.0799,3.5741,0.4124,1,Act1
0.7105,47.0588,1.9608,11.7647,1.4375,8.0911,6.2923,1.4089,0.2141,1.2709,0.6202,1.5941,0.1716,-0.2191,0.0139,-0.2023,-0.1635,0.143,1.1619,1.2291,0.9158,0.9962,1.2034,0.9467,3.9771,4.0082,2.0696,1.844,184.1395,178.3321,37.4905,115.11,0.0,158.293,0.212,0.5506,0.1355,4.6146,-1.341,0.8663,-1.1074,17,9.0147,10.527,4.7549,0.2275,4.3421,3.7158,0.3473,1,Act1
0.6874,48.0769,1.9231,5.7692,1.7646,7.8305,5.9932,1.3878,0.2049,1.2924,0.5331,1.5532,0.1051,0.1274,0.0989,-0.059,-0.0116,0.0788,1.0781,1.0251,0.9484,1.0297,1.0741,1.021,3.8694,3.9527,2.0303,1.8499,164.5284,164.5284,33.163,92.9732,42.6833,140.2286,0.1318,0.6043,0.1358,3.7533,-0.7152,4.7805,-0.4586,20,8.2803,12.8556,4.3923,0.1494,4.0897,4.6652,0.7049,1,Act1
0.6846,47.2727,1.8182,9.0909,2.1445,7.8333,6.3981,1.4896,0.1775,1.298,0.5902,1.5621,0.1265,-0.1399,-0.1894,-0.0461,-0.15,0.0764,1.0225,1.0679,0.9274,1.082,1.1567,0.9859,3.8124,3.9154,2.0688,1.8461,188.3121,188.3121,46.0636,83.2895,0.0,144.7605,0.1675,0.5657,0.1067,3.7027,-0.5838,4.0053,-0.5242,16,12.043,13.8331,4.6439,0.1554,4.62,3.8297,0.2947,1,Act1
