LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
1.9036,0,1.2993,8.0946,188.7441,0.6298,2.0853,15.0644,3.8173,61.5848,0.0767,Act1
0.0711,0,1.2553,8.0981,104.9402,0.6222,2.1002,16.5103,4.1074,116.623,-0.1519,Act1
3.8666,0,1.0243,7.7991,93.5913,0.615,2.1228,11.1356,3.4655,64.9271,0.0416,Act1
5.303,1,1.1633,7.875,0.0,0.614,2.0644,16.4481,3.6998,101.4681,0.0156,Act-1
2.2894,0,1.0378,7.878,85.3667,0.6209,2.1624,12.7107,3.6913,44.9714,0.0245,Act1
1.8481,0,1.0336,7.8509,128.05,0.6195,2.1623,11.6942,3.6892,37.7801,0.003,Act-1
4.2468,0,1.0992,8.0376,42.6833,0.6362,2.1293,10.7536,3.7245,32.8398,-0.0991,Act1
1.7617,0,1.1004,8.3506,128.05,0.624,2.1411,8.0859,4.0198,21.0561,-0.076,Act-1
3.2614,0,1.0979,8.2452,85.3667,0.6207,2.1412,10.5468,4.0206,32.8398,-0.0724,Act1
4.2187,0,1.1468,7.9683,42.6833,0.6712,2.1286,9.8022,4.0403,39.0804,-0.0586,Act1
1.7974,0,1.1018,8.1726,128.05,0.6251,2.1405,8.096,4.0114,23.5907,-0.1047,Act-1
2.6651,0,1.1705,8.1019,85.3667,0.6449,2.1405,11.9518,4.0121,38.5599,-0.061,Act1
2.5776,0,1.1036,8.0525,85.3667,0.6282,2.1406,7.8246,3.7188,23.5907,-0.1524,Act1
2.6037,1,1.321,7.6553,36.0215,0.6439,2.0198,6.8578,3.7995,19.1238,-0.197,Act1
2.7343,0,1.0141,7.9568,42.6833,0.6054,2.106,9.2396,3.2099,23.3084,-0.0241,Act-1
3.9556,1,1.3992,7.9412,52.807,0.7364,2.0326,4.3645,4.2124,39.9632,0.0281,Act1
4.1361,0,1.1426,8.3063,42.6833,0.6571,2.1406,9.7479,4.0514,71.1161,-0.1356,Act1
1.4033,1,1.3147,7.8188,16.7855,0.6469,2.0813,7.7922,3.2179,20.6013,-0.0065,Act-1
0.985,0,1.2272,8.3889,60.6941,0.6534,2.0946,9.2753,3.8794,53.251,-0.0171,Act-1
2.9302,1,1.2493,7.6284,18.0108,0.6309,2.0744,12.7262,3.6313,50.0638,0.0596,Act1
4.7444,1,1.231,7.8817,42.6833,0.6586,2.123,10.5563,3.9369,33.2861,-0.1079,Act1
3.7854,1,1.4996,7.9295,42.6833,0.671,2.0971,11.5006,4.6139,36.724,-0.1164,Act1
2.3352,1,1.4153,7.7069,46.4181,0.6687,2.0801,7.1281,4.5125,31.246,0.1583,Act1
2.9557,1,1.3977,7.6176,42.6833,0.6422,2.1537,9.9087,3.9823,45.4676,-0.0156,Act1
2.3566,1,1.4661,7.5536,16.663,0.6699,2.1454,7.4464,3.9463,29.7913,0.0691,Act1
-6.6658,0,1.0757,8.3478,308.5719,0.5965,2.0392,12.5063,3.2888,55.7205,0.0968,Act-1
-5.3984,1,1.0925,8.3465,495.3401,0.6549,2.0342,16.9204,3.6247,282.4978,0.0983,Act-1
2.603,0,1.0976,7.8224,170.7334,0.6203,2.1489,14.2894,3.7718,33.8387,0.0367,Act1
-2.1574,1,1.2562,8.4767,426.8334,0.6259,2.0711,13.6691,3.9641,31.8273,0.0062,Act-1
-1.5253,0,1.0426,9.2465,0.0,0.6757,1.6252,1.7548,2.5616,0.0,-0.6822,Act-1
0.0925,0,1.363,8.1705,502.414,0.5993,2.0541,18.3448,3.1477,33.4465,-0.0682,Act-1
0.7936,1,1.2195,7.9603,128.05,0.6364,2.1059,10.0246,4.0602,53.5568,0.0326,Act-1
5.0192,1,1.319,8.9714,18.0108,0.6953,2.0239,9.979,3.7919,57.8675,-0.1747,Act1
0.5195,0,1.2382,8.5944,160.9472,0.6211,2.0243,5.0491,3.5201,6.63,0.058,Act-1
0.88,0,1.2417,8.4107,118.2639,0.6273,2.0241,5.2718,3.4496,6.63,0.1586,Act-1
2.6483,1,1.3062,8.9799,60.6941,0.6818,2.0351,8.6643,4.0989,25.404,0.0505,Act-1
-1.6575,0,1.1293,8.4769,160.9472,0.6018,1.9741,5.3288,3.3986,6.6037,0.0078,Act1
-1.5505,0,1.1499,8.6083,0.0,0.6648,1.994,4.8839,3.4926,16.0596,-0.0115,Act-1
2.8784,1,1.5087,7.7323,103.3774,0.6979,2.0807,7.0461,4.711,34.5844,0.0446,Act1
0.614,0,1.1018,8.3155,170.7334,0.6241,2.1405,7.9647,4.0114,23.5907,-0.0892,Act-1
1.6492,0,1.0605,8.1667,128.05,0.6184,2.1458,7.9999,3.9517,31.1943,-0.0588,Act-1
1.3917,0,1.1039,8.2006,128.05,0.6272,2.14,8.0542,3.9261,23.5907,-0.0354,Act1
1.4264,0,1.1054,8.0032,128.05,0.6284,2.1394,8.0531,3.8953,26.1252,-0.0407,Act1
2.0832,0,1.2035,8.25,85.3667,0.66,2.1394,13.9299,4.0306,42.6452,0.0687,Act-1
0.575,0,1.1052,8.313,85.3667,0.6487,2.1393,10.3079,3.8961,30.7176,0.0861,Act-1
1.5389,0,1.0619,7.9647,128.05,0.6195,2.1447,8.0531,3.835,31.1943,-0.0417,Act1
1.0799,0,1.0649,8.1944,85.3667,0.6242,2.1447,12.8537,3.8352,54.7617,0.0533,Act-1
0.686,0,1.0633,8.2796,85.3667,0.6396,2.1446,10.3079,3.8358,35.7866,0.0808,Act-1
1.6408,0,1.1058,8.1944,128.05,0.628,2.1394,12.8537,3.8956,43.8878,0.0554,Act-1
1.4063,0,1.1135,8.0545,85.3667,0.6379,2.1358,8.0531,3.9028,31.2587,-0.0262,Act-1
5.1619,0,1.0548,7.5806,42.6833,0.6218,2.1347,11.5009,3.632,50.9938,0.0172,Act1
