Mp,C_percent,N_percent,O_percent,DECC,Psi_e_A,piPC05,PCR,Vindex,SpMAD_A,WiA_D/Dt,SpMAD_B(p),MATS2m,MATS5m,MATS5p,MATS8p,MATS1i,MATS7i,GATS4m,GATS8m,GATS2p,GATS2i,GATS4i,GATS6i,SpMax2_Bh(p),SpMax2_Bh(i),SpMin1_Bh(p),SpMin3_Bh(i),P_VSA_p_3,P_VSA_i_2,P_VSA_s_3,P_VSA_s_6,P_VSA_ppp_D,P_VSA_ppp_cyc,Eta_D_epsiA,Eta_psi1,SpMaxA_AEA(dm),SM12_AEA(ri),SdssC,SaasC,mindssC,CATS2D_00_LL,SHED_AL,SHED_LL,Uc,TPSA_efficiency,LOGPcons,SAscore,QEDu,MACCSFP125,Actividad
0.7128,48.4848,12.1212,3.0303,1.2789,7.873,6.0555,1.4757,0.269,1.3338,0.5087,1.6648,-0.0473,-0.1368,-0.0567,-0.0389,-0.2457,0.1705,0.9703,1.081,0.9633,1.1658,1.0386,1.1883,3.6905,3.8466,2.0766,1.5242,132.1001,132.1001,17.2247,82.0372,18.0108,119.7954,0.1839,0.582,0.1572,3.5669,-0.3016,1.881,-0.3016,8,6.6636,8.8058,4.2479,0.2146,2.0322,4.0409,0.7689,1,Act1
0.677,46.4286,3.5714,0.0,1.9286,7.3512,5.7254,1.3567,0.171,1.3567,0.6584,1.5676,-0.1373,-0.0007,-0.0012,-0.0067,-0.1377,-0.0433,0.9801,0.9841,1.0044,1.1066,1.0299,1.1227,3.8655,3.9491,2.092,1.7935,181.1815,181.1815,20.0852,0.0,0.0,166.3719,0.0707,0.6765,0.1146,3.5089,0.0,4.0339,0.0,20,8.0125,13.3785,4.3219,0.0176,5.0573,3.4817,0.551,1,Act1
0.5955,24.2857,10.0,4.2857,4.3511,7.2278,3.6109,1.0496,0.0,1.0751,0.8069,1.2296,-0.0735,0.021,0.0142,0.0241,-0.124,-0.0715,0.5071,0.5394,1.2475,1.5526,1.0845,1.1287,3.5926,3.8303,1.9735,1.5624,175.5176,42.1132,42.1132,208.4503,195.4072,0.0,0.1512,0.5129,0.1458,2.9021,-0.844,0.0,-0.5864,11,10.6874,13.204,2.0,0.364,-0.2549,3.764,0.1072,0,Act1
0.7352,45.4545,4.5455,4.5455,1.4129,7.7593,5.7174,1.3556,0.2119,1.2801,0.7213,1.5009,0.0292,0.0207,-0.0828,0.0433,-0.2336,0.0482,0.9258,1.2633,0.7531,1.0207,1.211,1.0269,3.828,3.9124,2.0043,1.5893,255.4341,137.9881,36.1158,156.2312,0.0,130.6626,0.205,0.5843,0.1181,3.69,1.4839,3.2133,0.6337,12,9.819,10.4432,4.2479,0.0856,5.1996,3.7887,0.4036,1,Act1
0.644,34.0426,8.5106,6.383,1.8958,7.9653,5.7648,1.3372,0.2633,1.2147,0.8891,1.4267,0.1961,-0.0598,-0.0929,-0.2237,-0.2164,0.1017,1.6326,1.5555,0.8097,0.9819,0.9997,1.0965,3.7433,3.9507,2.0187,1.7017,228.1963,167.8328,117.5092,255.516,65.7944,100.9198,0.1577,0.5453,0.0871,3.8883,1.977,2.691,-0.3418,14,14.2707,15.4521,4.2479,0.3519,2.9509,4.7325,0.0981,1,Act1
0.6772,39.5833,8.3333,6.25,2.0274,7.9259,6.1774,1.3444,0.1672,1.272,0.8379,1.5129,0.1236,-0.0783,-0.0569,-0.0544,-0.1408,0.093,1.633,1.2515,0.818,0.9562,1.1127,1.0911,3.8341,3.9511,2.0195,1.8006,294.0291,233.6656,123.8803,255.516,65.7944,202.0534,0.1733,0.5607,0.0748,3.8883,1.5597,3.4258,-0.4864,20,14.9272,17.9414,4.9542,0.3209,4.1498,4.799,0.0533,1,Act1
0.6264,35.5263,1.3158,7.8947,1.7551,7.8476,5.028,1.1513,0.2321,1.2137,0.483,1.3837,0.1455,0.0679,-0.0492,0.0735,-0.0195,-0.1381,0.9713,0.8784,1.0751,1.1698,0.9446,0.815,3.8201,3.9155,2.0287,1.7181,142.0488,110.7711,63.1471,174.4418,85.3667,106.3959,0.1149,0.5622,0.1113,3.7108,0.0349,1.7793,-0.568,18,10.8445,12.321,3.1699,0.2708,3.3659,5.2513,0.4483,0,Act1
0.6527,37.5,12.5,12.5,1.1467,8.5111,4.6581,1.3101,0.3927,1.2371,0.7976,1.5429,0.1094,0.2078,0.2547,-0.352,-0.0143,-0.3446,1.3857,1.1369,1.076,1.3034,1.0373,0.5409,3.4454,3.7085,1.985,1.0529,57.4294,57.4294,11.5568,126.4217,60.5716,57.0184,0.2625,0.4786,0.2434,3.3694,-1.8329,0.3675,-1.1759,4,5.8419,3.7798,3.3219,0.4423,-0.1578,3.1894,0.6276,0,Act-1
0.5759,27.6596,8.5106,4.2553,1.6177,7.8816,3.2189,1.0609,0.6478,1.174,1.0,1.2954,0.1244,0.0749,0.1592,0.2573,-0.0777,-0.0036,1.1116,0.9467,1.1389,1.3638,0.7194,1.4196,3.5453,3.7859,2.0098,1.5518,62.6761,62.6761,9.7249,112.1063,121.6328,0.0,0.0996,0.5335,0.2108,3.1587,1.334,0.0,0.667,7,8.2201,7.4222,1.585,0.3275,1.0788,4.2826,0.4371,0,Act-1
0.6621,42.8571,7.1429,7.1429,1.4294,9.057,4.868,1.2661,0.3907,1.1482,0.8307,1.4886,0.2575,-0.4456,0.2677,-0.0181,-0.0289,-0.1578,1.0351,0.8005,1.0017,0.7432,1.0564,0.487,3.6108,3.759,2.0184,1.1456,84.924,84.924,13.8325,143.768,60.6941,43.8473,0.3408,0.4386,0.2347,3.7652,-1.8527,-0.7575,-0.8868,7,5.681,7.2158,3.3219,0.2706,2.2489,3.6491,0.6651,0,Act1
0.6353,36.0825,8.7629,7.2165,3.9056,8.0812,6.7707,1.623,0.1172,1.2441,0.8795,1.4519,0.0341,0.0419,-0.0104,-0.0412,-0.0646,-0.0679,0.9746,0.8786,1.178,1.2917,1.1172,0.9256,3.9171,4.0468,2.1346,1.8943,315.83,276.6814,62.1895,914.9454,718.818,227.6645,0.1664,0.5265,0.0365,3.6397,-9.0777,2.4556,-0.9883,40,14.8925,14.2761,5.4263,0.3697,6.5501,7.3489,0.0106,1,Act-1
0.6449,41.6667,0.0,8.3333,0.463,7.6898,4.9733,1.2236,0.3155,1.2615,0.355,1.4427,0.1802,-0.1545,-0.0018,0.6129,-0.0536,-0.5372,0.8563,0.1469,0.977,1.0016,1.0285,0.9994,3.6654,3.8342,1.9471,1.4872,75.434,75.434,27.7426,45.6522,0.0,69.4656,0.1199,0.5705,0.2072,3.6329,1.3422,2.4357,0.0912,10,4.9209,6.3633,3.0,0.1735,2.7171,4.9125,0.654,0,Act1
0.6257,38.4615,0.0,9.2308,1.3278,7.9704,5.5568,1.1158,0.2641,1.255,0.409,1.42,0.1808,-0.099,-0.0929,0.0949,0.104,-0.2005,1.0241,1.1543,0.9862,0.9999,1.0531,0.9432,3.8217,3.931,1.9503,1.6838,105.796,105.796,24.4161,189.3398,128.05,32.9917,0.119,0.5513,0.1323,3.8061,0.3807,0.0,-0.6056,19,7.7381,10.4133,2.585,0.2417,2.3318,5.8457,0.4574,0,Act1
0.6422,40.625,3.125,3.125,0.9067,7.7333,4.7563,1.2681,0.4763,1.2281,0.7457,1.4649,0.1273,-0.3116,-0.144,0.0198,-0.207,0.0086,1.1929,0.7499,0.9857,1.131,1.1098,1.0307,3.5445,3.7171,2.0339,1.3888,96.0858,96.0858,12.7527,25.1449,0.0,43.8473,0.0906,0.62,0.2447,3.0776,0.0364,2.1114,0.0364,10,4.4313,7.1749,3.1699,0.0999,3.0072,3.3796,0.7333,0,Act-1
