LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
4.0221,1,1.4158,7.6867,0.0,0.7169,2.0132,9.3231,3.7632,62.9063,-0.1036,Act1
4.2126,1,1.4473,7.7097,32.8972,0.6637,2.1595,9.9185,3.9666,45.0549,0.115,Act1
3.6567,1,1.5104,7.7692,0.0,0.68,2.0049,10.5632,4.1019,38.6308,0.1284,Act1
4.2023,1,1.3937,7.571,18.0108,0.6889,2.0531,10.2867,3.7957,34.239,0.0651,Act1
5.7147,1,1.5062,7.7598,0.0,0.7151,2.0366,12.063,3.9772,69.515,-0.039,Act1
3.1977,0,1.3124,7.9678,35.899,0.6773,2.0476,10.2709,3.8866,25.836,0.0349,Act1
3.3576,1,1.4239,8.2569,18.0108,0.7245,2.0502,8.2125,3.8883,30.1526,0.139,Act1
3.5402,1,1.4409,8.4772,18.0108,0.7332,2.0515,7.4101,3.919,36.7391,0.0952,Act1
3.0898,1,1.4018,8.0962,18.0108,0.7299,2.0528,11.3404,3.9046,54.1685,0.1202,Act1
4.2758,1,1.3012,7.7567,0.0,0.6786,2.0159,8.0213,3.6242,33.6295,-0.0027,Act1
3.9187,1,1.3061,7.7882,0.0,0.6848,2.0146,7.4706,3.6242,31.095,-0.0111,Act1
4.4744,1,1.3724,7.753,0.0,0.7111,2.0348,8.7721,3.6243,31.746,0.0052,Act1
4.5303,1,1.4153,8.0158,18.0108,0.6807,2.0739,8.3748,3.9786,42.9056,0.0954,Act1
3.2954,1,1.37,7.7333,18.0108,0.6398,2.0667,13.5021,3.7758,44.39,-0.1763,Act1
4.0736,1,1.3744,7.6131,0.0,0.6576,2.0445,11.3019,3.6441,36.949,-0.1298,Act1
4.7368,1,1.485,7.9409,18.0108,0.7398,2.0258,11.3235,3.7631,94.5162,-0.022,Act1
4.103,1,1.4149,7.8189,18.0108,0.7106,1.9928,11.1555,3.7745,68.0423,-0.0286,Act-1
4.7307,1,1.3945,7.5741,18.0108,0.6947,2.0406,7.1192,3.8351,60.9421,-0.0952,Act1
