Orden,DrugBank_ID
838,DB00796
839,DB00797
840,DB00798
841,DB00799
842,DB00800
843,DB00803
844,DB00804
845,DB00805
846,DB00806
847,DB00807
848,DB00808
849,DB00809
850,DB00810
851,DB00811
852,DB00812
853,DB00814
854,DB00815
855,DB00816
856,DB00817
857,DB00818
858,DB00819
859,DB00820
860,DB00821
861,DB00822
862,DB00823
863,DB00824
864,DB00825
865,DB00827
866,DB00828
867,DB00831
868,DB00832
869,DB00833
870,DB00834
871,DB00835
872,DB00836
873,DB00837
874,DB00838
875,DB00839
876,DB00841
877,DB00842
878,DB00843
879,DB00844
880,DB00845
881,DB00846
882,DB00847
883,DB00848
884,DB00849
885,DB00850
886,DB00851
887,DB00852
888,DB00853
889,DB00854
890,DB00855
891,DB00856
892,DB00857
893,DB00859
894,DB00860
895,DB00861
896,DB00862
897,DB00863
898,DB00864
899,DB00866
900,DB00867
901,DB00868
902,DB00869
903,DB00870
904,DB00871
905,DB00872
906,DB00873
907,DB00874
908,DB00875
909,DB00876
910,DB00877
911,DB00878
912,DB00879
913,DB00880
914,DB00881
915,DB00882
916,DB00883
917,DB00884
918,DB00885
919,DB00887
920,DB00888
921,DB00889
922,DB00890
923,DB00891
924,DB00892
925,DB00894
926,DB00895
927,DB00896
928,DB00898
929,DB00899
930,DB00900
931,DB00902
932,DB00903
933,DB00904
934,DB00905
935,DB00906
936,DB00908
937,DB00909
938,DB00910
939,DB00911
940,DB00912
941,DB00914
942,DB00915
943,DB00916
944,DB00917
945,DB00918
946,DB00919
947,DB00920
948,DB00922
949,DB00923
950,DB00924
951,DB00925
952,DB00927
953,DB00928
954,DB00929
955,DB00930
956,DB00931
957,DB00932
958,DB00933
959,DB00934
960,DB00935
961,DB00936
962,DB00938
963,DB00939
964,DB00940
965,DB00941
966,DB00942
967,DB00943
968,DB00944
969,DB00945
970,DB00946
971,DB00947
972,DB00948
973,DB00949
974,DB00950
975,DB00951
976,DB00952
977,DB00953
978,DB00954
979,DB00955
980,DB00957
981,DB00958
982,DB00959
983,DB00960
984,DB00961
985,DB00963
986,DB00964
987,DB00966
988,DB00967
989,DB00968
990,DB00969
991,DB00970
992,DB00971
993,DB00972
994,DB00973
995,DB00974
996,DB00975
997,DB00976
998,DB00977
999,DB00978
1000,DB00979
1001,DB00980
1002,DB00981
1003,DB00982
1004,DB00983
1005,DB00985
1006,DB00986
1007,DB00987
1008,DB00988
1009,DB00989
1010,DB00990
1011,DB00991
1012,DB00992
1013,DB00993
1014,DB00994
1015,DB00995
1016,DB00996
1017,DB00997
1018,DB00998
1019,DB00999
1020,DB01000
1021,DB01001
1022,DB01002
1023,DB01003
1024,DB01004
1025,DB01005
1026,DB01006
1027,DB01007
1028,DB01008
1029,DB01009
1030,DB01010
1031,DB01011
1032,DB01012
1033,DB01013
1034,DB01014
1035,DB01015
1036,DB01016
1037,DB01017
1038,DB01018
1039,DB01019
1040,DB01020
1041,DB01021
1042,DB01022
1043,DB01023
1044,DB01024
1045,DB01025
1046,DB01026
1047,DB01028
1048,DB01029
1049,DB01030
1050,DB01032
1051,DB01033
1052,DB01034
1053,DB01035
1054,DB01036
1055,DB01037
1056,DB01038
1057,DB01039
1058,DB01040
1059,DB01041
1060,DB01042
