--- REPORTE GENERAL DE FRECUENCIA DE ATRIBUTOS ---
Fuentes: 4 archivos raw
------------------------------------------------------------
Atributo                                 | Frecuencia Total    
SpAD_EA(dm)                              | 1                   
SpMAD_EA(ri)                             | 1                   
SpMaxA_AEA(dm)                           | 1                   
SM02_EA(dm)                              | 1                   
Eig10_EA(dm)                             | 1                   
Eig02_AEA(dm)                            | 1                   
nCrs                                     | 1                   
nR=Ct                                    | 1                   
nRCONR2                                  | 1                   
nCONN                                    | 1                   
nRNHR                                    | 1                   
nArNHR                                   | 1                   
nArX                                     | 1                   
nPyrroles                                | 1                   
nPyrazoles                               | 1                   
nPyridines                               | 1                   
nPyrimidines                             | 1                   
C-011                                    | 1                   
C-027                                    | 1                   
C-034                                    | 1                   
H-046                                    | 1                   
H-048                                    | 1                   
H-053                                    | 1                   
O-057                                    | 1                   
N-072                                    | 1                   
Cl-089                                   | 1                   
SdsN                                     | 1                   
NssCH2                                   | 1                   
NaasC                                    | 1                   
NsssN                                    | 1                   
NaaS                                     | 1                   
minsssCH                                 | 1                   
mindssC                                  | 1                   
minaasC                                  | 1                   
MaxssCH2                                 | 1                   
MaxdssC                                  | 1                   
MaxsNH2                                  | 1                   
MaxsssN                                  | 1                   
CATS2D_05_DD                             | 1                   
CATS2D_03_DA                             | 1                   
CATS2D_07_DA                             | 1                   
CATS2D_04_DL                             | 1                   
CATS2D_06_DL                             | 1                   
CATS2D_01_AA                             | 1                   
CATS2D_02_AA                             | 1                   
CATS2D_09_AA                             | 1                   
CATS2D_02_AP                             | 1                   
CATS2D_04_AP                             | 1                   
CATS2D_04_AL                             | 1                   
CATS2D_05_AL                             | 1                   
CATS2D_07_AL                             | 1                   
CATS2D_09_AL                             | 1                   
CATS2D_03_NL                             | 1                   
CATS2D_08_NL                             | 1                   
CATS2D_03_LL                             | 1                   
SHED_DA                                  | 1                   
SHED_DP                                  | 1                   
SHED_AA                                  | 1                   
T(N..O)                                  | 1                   
T(N..S)                                  | 1                   
T(N..F)                                  | 1                   
T(N..Cl)                                 | 1                   
B03[O-S]                                 | 1                   
B04[O-S]                                 | 1                   
B05[N-N]                                 | 1                   
B05[N-F]                                 | 1                   
B05[O-S]                                 | 1                   
B07[N-S]                                 | 1                   
B08[C-N]                                 | 1                   
B08[N-N]                                 | 1                   
B09[C-S]                                 | 1                   
B09[C-Cl]                                | 1                   
B09[O-S]                                 | 1                   
B10[C-N]                                 | 1                   
B10[C-O]                                 | 1                   
nImidazoles                              | 1                   
B05[N-O]                                 | 1                   
B07[C-O]                                 | 1                   
AMW                                      | 1                   
nTA                                      | 1                   
O_percent                                | 1                   
J_D                                      | 1                   
Acon                                     | 1                   
H_D/Dt                                   | 1                   
MATS6m                                   | 1                   
MATS3p                                   | 1                   
MATS4p                                   | 1                   
GATS7i                                   | 1                   
P_VSA_LogP_3                             | 1                   
N_percent                                | 1                   
SM2_Dz(p)                                | 1                   
MATS2m                                   | 1                   
MATS7p                                   | 1                   
MATS8p                                   | 1                   
MATS2i                                   | 1                   
MATS8i                                   | 1                   
GATS1m                                   | 1                   
P_VSA_ppp_con                            | 1                   
Eta_C_A                                  | 1                   
Eta_F_A                                  | 1                   
SM09_AEA(ed)                             | 1                   
SM05_AEA(bo)                             | 1                   
SM12_AEA(ri)                             | 1                   
Eig08_EA(bo)                             | 1                   
Eig02_EA(dm)                             | 1                   
Eig09_EA(dm)                             | 1                   
Eig12_AEA(dm)                            | 1                   
nCp                                      | 1                   
nCconj                                   | 1                   
nRCONHR                                  | 1                   
nArCONHR                                 | 1                   
nRCO                                     | 1                   
nArNH2                                   | 1                   
nArNR2                                   | 1                   
nROH                                     | 1                   
nArOH                                    | 1                   
nArOR                                    | 1                   
nSO2N                                    | 1                   
nThiazoles                               | 1                   
C-026                                    | 1                   
C-029                                    | 1                   
C-033                                    | 1                   
C-039                                    | 1                   
H-047                                    | 1                   
O-059                                    | 1                   
O-060                                    | 1                   
N-068                                    | 1                   
N-074                                    | 1                   
F-084                                    | 1                   
SssCH2                                   | 1                   
SsssCH                                   | 1                   
SssssN+                                  | 1                   
SdO                                      | 1                   
NaaaC                                    | 1                   
NaasN                                    | 1                   
MaxdsCH                                  | 1                   
gmax                                     | 1                   
CATS2D_02_DD                             | 1                   
CATS2D_03_DD                             | 1                   
CATS2D_06_DD                             | 1                   
CATS2D_02_DA                             | 1                   
CATS2D_07_DL                             | 1                   
CATS2D_06_AA                             | 1                   
CATS2D_05_AP                             | 1                   
CATS2D_08_AP                             | 1                   
CATS2D_07_AN                             | 1                   
CATS2D_00_PP                             | 1                   
CATS2D_02_PL                             | 1                   
CATS2D_06_PL                             | 1                   
CATS2D_09_PL                             | 1                   
CATS2D_02_NL                             | 1                   
SHED_NL                                  | 1                   
T(F..F)                                  | 1                   
B01[C-O]                                 | 1                   
B01[N-O]                                 | 1                   
B02[N-N]                                 | 1                   
B02[N-O]                                 | 1                   
B04[C-Cl]                                | 1                   
B04[O-O]                                 | 1                   
B05[C-S]                                 | 1                   
B06[C-O]                                 | 1                   
B06[N-N]                                 | 1                   
B06[O-O]                                 | 1                   
B10[C-S]                                 | 1                   
B10[C-F]                                 | 1                   
B10[N-N]                                 | 1                   
B10[O-O]                                 | 1                   
F01[C-N]                                 | 1                   
F01[N-N]                                 | 1                   
F01[N-O]                                 | 1                   
F02[N-N]                                 | 1                   
F02[O-O]                                 | 1                   
F03[N-O]                                 | 1                   
F04[C-C]                                 | 1                   
F04[N-N]                                 | 1                   
F05[O-O]                                 | 1                   
F05[O-S]                                 | 1                   
F06[C-Cl]                                | 1                   
F07[C-S]                                 | 1                   
F07[N-N]                                 | 1                   
F08[C-F]                                 | 1                   
