--- REPORTE DE CONSENSO FINAL (J48 + IBk) ---
------------------------------------------------------------
Atributo                                 | Frecuencia     
CATS2D_06_LL                             | 1              
CATS2D_08_LL                             | 1              
SHED_DP                                  | 1              
SHED_DN                                  | 1              
SHED_DL                                  | 1              
SHED_PL                                  | 1              
T(N..F)                                  | 1              
T(N..Cl)                                 | 1              
T(O..F)                                  | 1              
T(S..Cl)                                 | 1              
T(F..F)                                  | 1              
B01[C-N]                                 | 1              
B01[N-O]                                 | 1              
B02[N-O]                                 | 1              
B03[N-N]                                 | 1              
B03[O-O]                                 | 1              
B04[C-F]                                 | 1              
B04[C-Cl]                                | 1              
B04[N-Cl]                                | 1              
B05[C-O]                                 | 1              
B05[N-S]                                 | 1              
B05[N-F]                                 | 1              
B05[O-S]                                 | 1              
B06[N-O]                                 | 1              
B06[O-S]                                 | 1              
B07[C-N]                                 | 1              
B07[N-O]                                 | 1              
B07[N-S]                                 | 1              
B07[O-O]                                 | 1              
B08[N-N]                                 | 1              
B08[O-S]                                 | 1              
B09[C-N]                                 | 1              
B09[C-O]                                 | 1              
B09[C-S]                                 | 1              
B09[N-N]                                 | 1              
B09[N-O]                                 | 1              
B10[C-F]                                 | 1              
F01[N-O]                                 | 1              
F02[N-N]                                 | 1              
F02[N-S]                                 | 1              
F03[N-N]                                 | 1              
F04[C-N]                                 | 1              
F04[C-Cl]                                | 1              
F04[N-N]                                 | 1              
F04[N-O]                                 | 1              
F04[O-O]                                 | 1              
F04[O-S]                                 | 1              
F05[N-F]                                 | 1              
F05[O-S]                                 | 1              
F06[C-S]                                 | 1              
F06[C-F]                                 | 1              
F06[C-Cl]                                | 1              
F07[C-N]                                 | 1              
F07[C-O]                                 | 1              
F07[C-S]                                 | 1              
F07[C-Cl]                                | 1              
F07[N-O]                                 | 1              
F07[O-O]                                 | 1              
F07[O-S]                                 | 1              
F08[C-S]                                 | 1              
F08[C-F]                                 | 1              
F08[C-Cl]                                | 1              
F08[N-N]                                 | 1              
F08[N-S]                                 | 1              
F08[N-F]                                 | 1              
F08[O-O]                                 | 1              
F09[C-Cl]                                | 1              
F09[O-S]                                 | 1              
F10[C-N]                                 | 1              
F10[C-Cl]                                | 1              
F10[N-O]                                 | 1              
Uc                                       | 1              
SAscore                                  | 1              
MDEO-22                                  | 1              
MDEN-12                                  | 1              
MDEN-23                                  | 1              
MDEN-33                                  | 1              
nLevel10                                 | 1              
arLevel1                                 | 1              
arLevel3                                 | 1              
s2_relSize                               | 1              
s4_relSize                               | 1              
s4_phRelSize                             | 1              
s3_numRotBonds                           | 1              
s4_numRotBonds                           | 1              
s2_numAroBonds                           | 1              
MACCSFP1                                 | 1              
MACCSFP2                                 | 1              
MACCSFP3                                 | 1              
MACCSFP4                                 | 1              
MACCSFP5                                 | 1              
MACCSFP6                                 | 1              
MACCSFP7                                 | 1              
MACCSFP10                                | 1              
MACCSFP15                                | 1              
MACCSFP20                                | 1              
MACCSFP21                                | 1              
MACCSFP22                                | 1              
MACCSFP23                                | 1              
MACCSFP24                                | 1              
MACCSFP26                                | 1              
MACCSFP27                                | 1              
MACCSFP28                                | 1              
MACCSFP36                                | 1              
MACCSFP40                                | 1              
MACCSFP41                                | 1              
MACCSFP43                                | 1              
MACCSFP44                                | 1              
MACCSFP47                                | 1              
MACCSFP48                                | 1              
MACCSFP49                                | 1              
MACCSFP50                                | 1              
MACCSFP51                                | 1              
MACCSFP53                                | 1              
MACCSFP55                                | 1              
MACCSFP56                                | 1              
MACCSFP58                                | 1              
MACCSFP61                                | 1              
MACCSFP62                                | 1              
MACCSFP63                                | 1              
MACCSFP68                                | 1              
MACCSFP75                                | 1              
MACCSFP77                                | 1              
MACCSFP78                                | 1              
MACCSFP80                                | 1              
MACCSFP81                                | 1              
MACCSFP82                                | 1              
MACCSFP84                                | 1              
MACCSFP85                                | 1              
MACCSFP87                                | 1              
MACCSFP88                                | 1              
MACCSFP92                                | 1              
MACCSFP95                                | 1              
MACCSFP96                                | 1              
MACCSFP97                                | 1              
MACCSFP99                                | 1              
MACCSFP100                               | 1              
MACCSFP101                               | 1              
MACCSFP102                               | 1              
MACCSFP103                               | 1              
MACCSFP104                               | 1              
MACCSFP105                               | 1              
MACCSFP106                               | 1              
MACCSFP107                               | 1              
MACCSFP109                               | 1              
MACCSFP115                               | 1              
MACCSFP119                               | 1              
MACCSFP121                               | 1              
MACCSFP122                               | 1              
MACCSFP123                               | 1              
MACCSFP124                               | 1              
MACCSFP125                               | 1              
MACCSFP130                               | 1              
MACCSFP136                               | 1              
MACCSFP141                               | 1              
MACCSFP142                               | 1              
MACCSFP146                               | 1              
MACCSFP152                               | 1              
MACCSFP153                               | 1              
MACCSFP154                               | 1              
MACCSFP165                               | 1              
C_percent                                | 1              
totalcharge                              | 1              
MATS7m                                   | 1              
MATS6i                                   | 1              
GATS8m                                   | 1              
GATS7p                                   | 1              
GATS8i                                   | 1              
Eig10_EA(dm)                             | 1              
Eig11_EA(dm)                             | 1              
