--- REPORTE DE DIAGNÓSTICO DE CONSENSO (J48 + IBk) ---
------------------------------------------------------------
Atributo (o Índice)                      | Frecuencia     
Índice Fuera de Rango: 407               | 1              
Índice Fuera de Rango: 408               | 1              
Índice Fuera de Rango: 411               | 1              
Índice Fuera de Rango: 412               | 1              
Índice Fuera de Rango: 414               | 1              
Índice Fuera de Rango: 415               | 1              
Índice Fuera de Rango: 416               | 1              
Índice Fuera de Rango: 421               | 1              
Índice Fuera de Rango: 426               | 1              
Índice Fuera de Rango: 427               | 1              
Índice Fuera de Rango: 430               | 1              
Índice Fuera de Rango: 432               | 1              
Índice Fuera de Rango: 433               | 1              
Índice Fuera de Rango: 434               | 1              
Índice Fuera de Rango: 436               | 1              
Índice Fuera de Rango: 439               | 1              
Índice Fuera de Rango: 441               | 1              
Índice Fuera de Rango: 443               | 1              
Índice Fuera de Rango: 446               | 1              
Índice Fuera de Rango: 447               | 1              
Índice Fuera de Rango: 450               | 1              
Índice Fuera de Rango: 453               | 1              
Índice Fuera de Rango: 457               | 1              
Índice Fuera de Rango: 458               | 1              
Índice Fuera de Rango: 461               | 1              
Índice Fuera de Rango: 466               | 1              
Índice Fuera de Rango: 470               | 1              
Índice Fuera de Rango: 472               | 1              
Índice Fuera de Rango: 476               | 1              
Índice Fuera de Rango: 477               | 1              
Índice Fuera de Rango: 478               | 1              
Índice Fuera de Rango: 484               | 1              
Índice Fuera de Rango: 488               | 1              
Índice Fuera de Rango: 490               | 1              
Índice Fuera de Rango: 491               | 1              
Índice Fuera de Rango: 492               | 1              
Índice Fuera de Rango: 494               | 1              
Índice Fuera de Rango: 495               | 1              
Índice Fuera de Rango: 502               | 1              
Índice Fuera de Rango: 509               | 1              
Índice Fuera de Rango: 512               | 1              
Índice Fuera de Rango: 514               | 1              
Índice Fuera de Rango: 516               | 1              
Índice Fuera de Rango: 521               | 1              
Índice Fuera de Rango: 523               | 1              
Índice Fuera de Rango: 524               | 1              
Índice Fuera de Rango: 525               | 1              
Índice Fuera de Rango: 527               | 1              
Índice Fuera de Rango: 528               | 1              
Índice Fuera de Rango: 532               | 1              
Índice Fuera de Rango: 534               | 1              
Índice Fuera de Rango: 535               | 1              
Índice Fuera de Rango: 536               | 1              
Índice Fuera de Rango: 537               | 1              
Índice Fuera de Rango: 544               | 1              
Índice Fuera de Rango: 545               | 1              
