DrugBank_ID,Probabilidad,Leverage,Dominio_AD,SMILES,Lipinski_Viable,MW,LogP
DB00991,0.8946476933669956,0.000745528012587692,DENTRO,OC(=O)CCC1=NC(C2=CC=CC=C2)=C(O1)C1=CC=CC=C1,SÍ,293.32,4.03
DB01462,0.89,0.0010654124184237327,DENTRO,CCOC1=CC=C(CC2=NC3=C(C=CC(=C3)[N+]([O-])=O)N2CCN(CC)CC)C=C1,SÍ,396.49,4.28
DB00208,0.89,0.002660042320705737,DENTRO,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,SÍ,263.79,3.96
DB00340,0.89,0.0018752324760315372,DENTRO,CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,SÍ,309.48,5.02
DB00387,0.89,0.0020068247723539845,DENTRO,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,SÍ,287.45,3.94
DB00758,0.89,0.0019411931400460242,DENTRO,COC(=O)C(N1CCC2=C(C1)C=CS2)C1=CC=CC=C1Cl,SÍ,321.83,3.67
DB00969,0.89,0.00092289459183849,DENTRO,CN1C2=CC=CC=C2C2=C1CCN(CC1=C(C)NC=N1)C2=O,SÍ,294.36,2.41
DB00977,0.89,0.002579076813566722,DENTRO,CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2(O)C#C,SÍ,296.41,3.61
DB01097,0.89,0.002544723744959132,DENTRO,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,SÍ,270.21,3.25
DB01357,0.89,0.0023969629889084476,DENTRO,COC1=CC2=C(C=C1)C1CCC3(C)C(CCC3(O)C#C)C1CC2,SÍ,310.44,3.92
DB00580,0.89,0.001392693730226222,DENTRO,CC1=C(C2=CC=C(C=C2)S(N)(=O)=O)C(=NO1)C1=CC=CC=C1,SÍ,314.37,2.96
DB04154,0.89,0.0014465083220883117,DENTRO,CN(C(C)=O)C1=CC=CC(=C1)C1=NN=C2C=CC(=NN12)C1=CC=CC=C1,SÍ,343.39,3.44
DB01656,0.89,0.0013288569463914693,DENTRO,FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl,SÍ,403.21,5.03
DB05414,0.89,0.00156456207638114,DENTRO,CC1=C(N(CC2=CC=C(OCCN3CCCCC3)C=C2)C2=C1C=C(O)C=C2)C1=CC=C(O)C=C1,SÍ,456.59,5.94
DB00719,0.8894587212311904,0.0009534871310315565,DENTRO,CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2,SÍ,290.41,3.71
DB04254,0.8892953867339912,0.0007132979406638804,DENTRO,CCCCN1C(CC2=CC=C3OCOC3=C2)=NC2=C1N=C(F)N=C2N,SÍ,343.36,2.67
DB01395,0.8872261210895682,0.0030209208470472616,DENTRO,CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,SÍ,366.5,4.31
DB05708,0.8872261210895682,0.000758638165158516,DENTRO,Cl.Cl.COC1=CC(OC)=C(C=C1)C=C1CCCN=C1C1=CN=CC=C1,SÍ,381.3,4.61
DB04946,0.8846476933669956,0.0010427276666170812,DENTRO,COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O,SÍ,426.49,4.83
DB06274,0.8836664856056491,0.0021721756700309233,DENTRO,CC1CN(CCC1(C)C1=CC(O)=CC=C1)CC(CC1=CC=CC=C1)C(=O)NCC(O)=O,SÍ,424.54,3.05
DB00472,0.88,0.0021998020439012835,DENTRO,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,SÍ,309.33,4.44
DB00706,0.88,0.0012374969365204977,DENTRO,CCOC1=CC=CC=C1OCCNC(C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,SÍ,408.52,2.34
DB00941,0.88,0.0018830470629727558,DENTRO,[Br-].[Br-].C[N+](C)(CCCCCC[N+](C)(C)C1C2=CC=CC=C2C2=CC=CC=C12)C1C2=CC=CC=C2C2=CC=CC=C12,SÍ,662.55,2.25
DB01091,0.88,0.00181009942209357,DENTRO,CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=CC=CC=C12,SÍ,317.48,5.77
DB01776,0.88,0.0039594691191036264,DENTRO,CC1=CC=CC(O)=C1,SÍ,108.14,1.7
DB03771,0.88,0.0010357347694297902,DENTRO,CN(CC=C)CC=CCOC1=CC2=C(C=C1)C(=CO2)C1=CC=C(Br)C=C1,SÍ,412.33,5.92
DB04505,0.88,0.001242044638607196,DENTRO,COC1=CC(CC2=NC3=C(N=CN=C3N)N2CCCC#C)=C(Cl)C(OC)=C1OC,SÍ,415.88,3.09
DB04669,0.88,0.001502929741380701,DENTRO,BrC1=CC=CC(=C1)C1=CC(NCC2=CC=NC=C2)=[N+]2NC=NC2=N1,SÍ,382.25,2.98
DB04690,0.88,0.0007693679760165727,DENTRO,CCC1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=CC=CC=C4N=C13)C2=O,SÍ,348.36,2.08
DB04892,0.88,0.0008992013907619624,DENTRO,CN1CCC2(C)C1N(C)C1=C2C=C(OC(=O)NC2=CC=CC=C2)C=C1,SÍ,337.42,3.67
DB05884,0.88,0.0015172493216965939,DENTRO,CNC(=O)C1=C(OC2=CC(NS(C)(=O)=O)=C(OC(C)C)C=C12)C1=CC=C(F)C=C1,SÍ,420.46,3.76
DB00248,0.8776750517165246,0.0014374595661269017,DENTRO,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(CC=C)C1,SÍ,451.62,3.19
DB01493,0.8746476933669957,0.003360892496696504,DENTRO,CCC1(O)CCC2C3CCC4=CCCCC4C3CCC12C,SÍ,288.48,5.09
DB00482,0.8746476933669957,0.0021215680589301636,DENTRO,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,SÍ,381.38,3.51
DB05871,0.8746476933669957,0.000973415923493634,DENTRO,CC(C)=CCOC1=C(Cl)C=CC(NC(=S)C2=C(C)OC=C2)=C1,SÍ,335.86,5.37
DB01153,0.8730273583495289,0.0018285530305398273,DENTRO,ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CSC2=C1C=CC=C2Cl,SÍ,437.78,7.02
DB00434,0.8722447622214833,0.001330710810618497,DENTRO,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,SÍ,287.41,4.7
DB01616,0.8722447622214833,0.001382057333557703,DENTRO,CCN(CCCC1=CC=CC=C1)CCCC1=CC=CC=C1,SÍ,281.44,4.57
DB00253,0.87,0.0023570920757522923,DENTRO,CC1CC2C3CCC(C(C)=O)C3(C)CC(O)C2C2(C)CCC(=O)C=C12,SÍ,344.5,3.94
DB00294,0.87,0.0022512519585057332,DENTRO,CCC12CC(=C)C3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,SÍ,324.46,4.05
DB00530,0.87,0.0011755911785263464,DENTRO,COCCOC1=C(OCCOC)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1,SÍ,393.44,3.41
DB00762,0.87,0.0015296226711239613,DENTRO,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=C1C=C(OC(=O)N1CCC(CC1)N1CCCCC1)C=C2)C(O)(CC)C(=O)OC4,SÍ,586.69,4.09
DB00782,0.87,0.0015842463261310467,DENTRO,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C,SÍ,368.5,4.73
DB00821,0.87,0.0013047106450063122,DENTRO,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,SÍ,273.72,4.16
DB01151,0.87,0.0017678299071355531,DENTRO,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12,SÍ,266.39,3.53
DB01221,0.87,0.001292818538508728,DENTRO,CNC1(CCCCC1=O)C1=CC=CC=C1Cl,SÍ,237.73,2.9
DB01586,0.87,0.003647891444105271,DENTRO,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,SÍ,392.58,4.48
