@relation J48_training-comb.arff-weka.filters.unsupervised.attribute.Remove-R25

@attribute Psi_e_A numeric
@attribute PCR numeric
@attribute GATS8i numeric
@attribute nRCOOH numeric
@attribute nImidazoles numeric
@attribute SaaCH numeric
@attribute CATS2D_07_AP numeric
@attribute SHED_LL numeric
@attribute B05[N-O] numeric
@attribute B06[C-C] numeric
@attribute B07[C-O] numeric
@attribute B08[C-C] numeric
@attribute F03[N-S] numeric
@attribute F09[N-N] numeric
@attribute F09[N-N] numeric
@attribute MACCSFP8 numeric
@attribute MACCSFP37 numeric
@attribute MACCSFP38 numeric
@attribute MACCSFP48 numeric
@attribute MACCSFP49 numeric
@attribute MACCSFP62 numeric
@attribute MACCSFP80 numeric
@attribute MACCSFP84 numeric
@attribute MACCSFP125 numeric
@attribute Actividad {Act1,Act-1}

@data
7.9679,1.0621,0.8646,0,0,0,0,6.1324,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.4954,1.1817,0.5805,0,0,5.8704,0,5.6521,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Act-1
8.4962,1.3177,1.0034,0,0,12.1334,0,11.0438,1,1,1,1,0,2,2,0,1,0,0,0,1,1,0,1,Act1
8.5332,1.4376,1.1295,0,0,2.8829,0,8.0581,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,Act1
7.6543,1.4054,1.3251,0,0,10.263,0,11.6858,1,1,1,1,3,0,0,0,0,1,0,0,0,1,1,1,Act1
7.6282,1.594,1.0873,0,1,15.1275,0,6.5975,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,Act1
8.3967,1.3202,1.2165,0,0,7.4623,0,4.888,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,Act1
8.0635,1.4208,1.0994,0,0,10.1892,0,12.8104,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,Act1
8.3684,1.0647,0.9203,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Act-1
7.6875,1.3272,1.0879,0,0,8.4347,0,7.4882,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,Act-1
7.9655,1.2419,0.9117,1,0,18.7239,0,14.6963,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Act1
7.8939,1.2496,0,0,0,9.4319,0,5.0763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Act1
9.1667,1.048,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Act-1
8.3488,1.0861,0.8862,1,0,0,0,6.3053,1,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0,Act-1
8.325,1.0972,0.8016,1,0,0,0,2.7495,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,Act-1
7.9268,1.0865,1.0397,0,0,0,0,11.2824,1,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,Act-1
8.6622,1.1776,0.7516,0,0,1.317,0,8.7454,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,Act-1
8.0946,1.2993,0.9906,0,0,0,0,14.9087,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Act1
8.0981,1.2553,0.9142,0,0,2.8185,2,15.756,1,1,1,1,0,2,2,0,0,0,0,0,0,1,1,0,Act1
7.7991,1.0243,1.0035,0,0,0,0,13.8157,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,Act1
7.875,1.1633,1.0834,0,0,15.0057,0,16.7303,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act-1
7.878,1.0378,0.9124,0,0,0,0,11.8242,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Act1
7.8509,1.0336,0.9316,0,0,0,0,10.6087,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Act-1
8.0376,1.0992,0.9329,0,0,0,0,11.3158,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.3506,1.1004,0.8918,0,0,0,0,7.041,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.2452,1.0979,0.8787,0,0,0,0,11.4963,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.9683,1.1468,1.0451,0,0,4.4465,0,9.8754,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.1726,1.1018,0.8255,0,0,0,0,6.944,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.1019,1.1705,0.8068,0,0,5.8075,0,11.0742,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.0525,1.1036,0.8106,0,0,0,0,7.0084,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.6553,1.321,0.7566,0,0,9.8662,0,8.1595,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,Act1
7.9568,1.0141,0.8085,1,0,0,0,8.9013,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.9412,1.3992,1.0825,0,0,8.3325,0,8.8256,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,Act1
8.3063,1.1426,0.9852,0,0,4.1088,0,9.8156,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.8188,1.3147,0.9174,0,0,5.3688,0,6.0891,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,Act-1
8.3889,1.2272,0.8944,0,0,2.91,0,8.9026,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Act-1
7.6284,1.2493,0.9256,0,0,10.5726,0,13.2457,1,1,1,1,0,2,2,0,0,0,0,0,0,1,0,1,Act1
7.8817,1.231,0.9315,1,0,15.9615,0,12.455,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act1
7.9295,1.4996,1.0053,1,0,15.9694,0,11.0946,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,Act1
7.7069,1.4153,1.404,0,0,9.3934,0,7.0392,1,1,1,1,1,2,2,0,0,1,0,0,1,1,0,1,Act1
7.6176,1.3977,1.1717,0,0,9.7427,0,9.3877,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,Act1
7.5536,1.4661,1.0807,0,0,13.4606,0,7.6664,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,Act1
8.3478,1.0757,1.1781,0,0,0,4,8.7055,1,1,1,1,0,11,11,0,1,0,0,0,1,1,1,0,Act-1
8.3465,1.0925,1.1127,2,0,10.5493,0,14.4373,1,1,1,1,6,14,14,0,0,0,0,0,0,1,1,1,Act-1
7.8224,1.0976,0.9001,0,0,0,0,10.0162,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Act1
8.4767,1.2562,1.1004,0,0,5.2358,0,9.9303,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act-1
9.2465,1.0426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Act-1
8.1705,1.363,1.0203,1,0,0,0,19.0987,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Act-1
7.9603,1.2195,1.1238,0,0,6.9269,0,7.236,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act-1
8.9714,1.319,0.7117,0,0,6.8381,0,11.1668,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,Act1
8.5944,1.2382,0.3095,1,0,4.1062,1,4.436,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Act-1
8.4107,1.2417,0.4671,1,0,6.3267,1,4.4703,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Act-1
8.9799,1.3062,0.9598,0,0,6.0254,0,8.9941,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,Act-1
8.4769,1.1293,0.9984,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,Act1
